iter	Logloss
0	0.6917195651
1	0.6903907445
2	0.6895023617
3	0.6881423962
4	0.6867644128
5	0.6850479489
6	0.6842844995
7	0.6833014498
8	0.6820848043
9	0.6814210481
10	0.6807372859
11	0.680013008
12	0.6790871687
13	0.6784030709
14	0.6775983005
15	0.6766216231
16	0.6760263941
17	0.6751413771
18	0.6737312889
19	0.6726415042
20	0.6718362488
21	0.6708256178
22	0.6702957463
23	0.6699324261
24	0.6690163308
25	0.6684110187
26	0.6679894535
27	0.6675800113
28	0.6668750035
29	0.6664699409
30	0.6658356982
31	0.665320386
32	0.6649259705
33	0.6640070982
34	0.6635126685
35	0.6631259252
36	0.6626166945
37	0.6620054975
38	0.6610829789
39	0.660849118
40	0.6607004948
41	0.6602316672
42	0.659936694
43	0.6592980637
44	0.6587105325
45	0.658271752
46	0.6573351155
47	0.6566029571
48	0.6561853313
49	0.6556454045
50	0.6551863924
51	0.6548177015
52	0.6542517539
53	0.6540266072
54	0.6537323838
55	0.6528968798
56	0.6525870028
57	0.6521348114
58	0.6518464504
59	0.651481263
60	0.6511694401
61	0.6503758455
62	0.6497051079
63	0.6492736542
64	0.6485942034
65	0.6483397705
66	0.6477425179
67	0.6471912476
68	0.6467502585
69	0.6464513952
70	0.6462218111
71	0.6454099433
72	0.6451683149
73	0.6449077433
74	0.6446603073
75	0.6444826256
76	0.6442216947
77	0.6440784083
78	0.6434328639
79	0.6431778509
80	0.6429241841
81	0.6425632501
82	0.6424434019
83	0.6422439684
84	0.6420282603
85	0.6417917442
86	0.6417012406
87	0.6413050582
88	0.6409928652
89	0.6402804385
90	0.6398483554
91	0.6396128896
92	0.6395550375
93	0.6392245319
94	0.6386387853
95	0.6386020252
96	0.6384507346
97	0.6384067018
98	0.6383813792
99	0.6382287665
100	0.6378482748
101	0.6376295668
102	0.6375309296
103	0.6371032578
104	0.63657661
105	0.6363686653
106	0.6361523504
107	0.6355516682
108	0.6355293078
109	0.635265054
110	0.6349635261
111	0.6344345186
112	0.6339652327
113	0.6339276759
114	0.6335681266
115	0.6331586916
116	0.6327588736
117	0.632618177
118	0.6324589286
119	0.6323915684
120	0.6323859128
121	0.6322426648
122	0.6321881048
123	0.6319810672
124	0.6316986115
125	0.6316712818
126	0.6316490236
127	0.6316457697
128	0.6315138505
129	0.6315053941
130	0.6312397031
131	0.6310747067
132	0.6306279166
133	0.6306119332
134	0.6305934492
135	0.6303229763
136	0.6302804862
137	0.6298345245
138	0.6298208877
139	0.6298003745
140	0.6297962947
141	0.6296792363
142	0.629194582
143	0.6291820139
144	0.6291705924
145	0.6290950632
146	0.6290846098
147	0.6288688691
148	0.6288588035
149	0.6284826605
150	0.6284315231
151	0.6284192777
152	0.628028806
153	0.6279755249
154	0.6274624547
155	0.6274589275
156	0.627294722
157	0.6272871409
158	0.6271538064
159	0.6271512458
160	0.627148762
161	0.6266728975
162	0.6266713503
163	0.6264518087
164	0.6264515802
165	0.6262611074
166	0.6262506301
167	0.6262478234
168	0.6259856352
169	0.6259824594
170	0.6259728375
171	0.6258978852
172	0.6258966819
173	0.6258847097
174	0.625884412
175	0.625706763
176	0.6253996438
177	0.6253909834
178	0.6253844627
179	0.6253791383
180	0.625043157
181	0.624954895
182	0.6246157229
183	0.6246146733
184	0.62461366
185	0.6246120931
186	0.6246111432
187	0.6246098339
188	0.6246025694
189	0.6245914286
190	0.6240976424
191	0.6239979937
192	0.6238002239
193	0.6237958396
194	0.6237754196
195	0.6237699545
196	0.6237678963
197	0.6236551809
198	0.6234951692
199	0.6234915065
200	0.6234909479
201	0.6234906631
202	0.6234889515
203	0.6231465452
204	0.6230557393
205	0.6230529734
206	0.6230042986
207	0.6229997507
208	0.6229965852
209	0.6226623944
